token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
88585,EXIDEIND29MAY25365CE,EXIDEIND,29MAY2025,36500.000000,1800,OPTSTK,NFO,5.000000
88581,EXIDEIND29MAY25345CE,EXIDEIND,29MAY2025,34500.000000,1800,OPTSTK,NFO,5.000000
88765,EXIDEIND26JUN25380CE,EXIDEIND,26JUN2025,38000.000000,1800,OPTSTK,NFO,5.000000
88770,EXIDEIND26JUN25400PE,EXIDEIND,26JUN2025,40000.000000,1800,OPTSTK,NFO,5.000000
100486,ICICIGI26JUN252040PE,ICICIGI,26JUN2025,204000.000000,250,OPTSTK,NFO,5.000000
100597,IEX31JUL25195PE,IEX,31JUL2025,19500.000000,3750,OPTSTK,NFO,5.000000
100650,IGL26JUN25167.5CE,IGL,26JUN2025,16750.000000,2750,OPTSTK,NFO,5.000000
100602,IEX31JUL25210CE,IEX,31JUL2025,21000.000000,3750,OPTSTK,NFO,5.000000
88775,EXIDEIND26JUN25420PE,EXIDEIND,26JUN2025,42000.000000,1800,OPTSTK,NFO,5.000000
88771,EXIDEIND26JUN25410CE,EXIDEIND,26JUN2025,41000.000000,1800,OPTSTK,NFO,5.000000
88818,HINDCOPPER29MAY25170PE,HINDCOPPER,29MAY2025,17000.000000,2650,OPTSTK,NFO,5.000000
88824,HINDCOPPER29MAY25200PE,HINDCOPPER,29MAY2025,20000.000000,2650,OPTSTK,NFO,5.000000
100654,IGL26JUN25177.5CE,IGL,26JUN2025,17750.000000,2750,OPTSTK,NFO,5.000000
100652,IGL26JUN25172.5CE,IGL,26JUN2025,17250.000000,2750,OPTSTK,NFO,5.000000
100678,IGL26JUN25207.5PE,IGL,26JUN2025,20750.000000,2750,OPTSTK,NFO,5.000000
100690,LAURUSLABS29MAY25540PE,LAURUSLABS,29MAY2025,54000.000000,1700,OPTSTK,NFO,5.000000
88835,HINDCOPPER29MAY25260CE,HINDCOPPER,29MAY2025,26000.000000,2650,OPTSTK,NFO,5.000000
88867,DMART31JUL253800PE,DMART,31JUL2025,380000.000000,150,OPTSTK,NFO,5.000000
88872,DMART31JUL253900PE,DMART,31JUL2025,390000.000000,150,OPTSTK,NFO,5.000000
88889,DMART31JUL254300CE,DMART,31JUL2025,430000.000000,150,OPTSTK,NFO,5.000000
88893,DMART31JUL254500CE,DMART,31JUL2025,450000.000000,150,OPTSTK,NFO,5.000000
88894,DMART31JUL254500PE,DMART,31JUL2025,450000.000000,150,OPTSTK,NFO,5.000000
88891,DMART31JUL254400CE,DMART,31JUL2025,440000.000000,150,OPTSTK,NFO,5.000000
88990,FEDERALBNK29MAY25192.5PE,FEDERALBNK,29MAY2025,19250.000000,5000,OPTSTK,NFO,5.000000
100694,LAURUSLABS29MAY25580CE,LAURUSLABS,29MAY2025,58000.000000,1700,OPTSTK,NFO,5.000000
100697,LAURUSLABS29MAY25600CE,LAURUSLABS,29MAY2025,60000.000000,1700,OPTSTK,NFO,5.000000
100703,LAURUSLABS29MAY25640PE,LAURUSLABS,29MAY2025,64000.000000,1700,OPTSTK,NFO,5.000000
100705,LAURUSLABS29MAY25660PE,LAURUSLABS,29MAY2025,66000.000000,1700,OPTSTK,NFO,5.000000
100861,IGL31JUL25175PE,IGL,31JUL2025,17500.000000,2750,OPTSTK,NFO,5.000000
100939,IGL31JUL25215PE,IGL,31JUL2025,21500.000000,2750,OPTSTK,NFO,5.000000
100942,LICHSGFIN29MAY25540PE,LICHSGFIN,29MAY2025,54000.000000,1000,OPTSTK,NFO,5.000000
100915,LICHSGFIN29MAY25460PE,LICHSGFIN,29MAY2025,46000.000000,1000,OPTSTK,NFO,5.000000
100956,IGL31JUL25220PE,IGL,31JUL2025,22000.000000,2750,OPTSTK,NFO,5.000000
100993,LICHSGFIN29MAY25660PE,LICHSGFIN,29MAY2025,66000.000000,1000,OPTSTK,NFO,5.000000
101103,ICICIPRULI29MAY25545CE,ICICIPRULI,29MAY2025,54500.000000,750,OPTSTK,NFO,5.000000
101104,ICICIPRULI29MAY25545PE,ICICIPRULI,29MAY2025,54500.000000,750,OPTSTK,NFO,5.000000
101114,ICICIPRULI29MAY25575PE,ICICIPRULI,29MAY2025,57500.000000,750,OPTSTK,NFO,5.000000
101119,ICICIPRULI29MAY25590PE,ICICIPRULI,29MAY2025,59000.000000,750,OPTSTK,NFO,5.000000
